Ticker,ESG Score,Governance Score,Environment Score,Social Score,ESG Score Date,ESG Status,CEO Full Name,CEO Gender,CEO Status
SWK,25.93,7.59,5.83,12.51,01/01/2023,success,Mr. Donald  Allan Jr.,male,success
SBUX,24.83,4.21,6.11,14.5,01/08/2022,success,Mr. Laxman  Narasimhan,male,success
STT,22.27,9.11,1.96,11.2,01/08/2022,success,Mr. Ronald Philip O'Hanley,male,success
STLD,32.39,8.21,9.82,14.36,01/01/2023,success,Mr. Mark D. Millett,male,success
STE,,,,,,An error occurred: 'symbolSeries',Mr. Daniel A. Carestio,male,success
SYK,28.52,10.84,3.72,13.96,01/08/2022,success,Mr. Kevin A. Lobo,male,success
SYF,17.22,7.19,0.13,9.89,01/08/2022,success,Mr. Brian D. Doubles,male,success
SNPS,13.45,4.07,3.18,6.2,01/01/2023,success,Dr. Aart J. de Geus,male,Manually added gender
SYY,12.06,4.57,2.79,4.7,01/08/2022,success,Mr. Kevin P. Hourican,male,success
TMUS,26.07,7.69,5.03,13.35,01/08/2022,success,Mr. G. Michael Sievert,male,success
TROW,17.05,5.39,2.36,9.3,01/01/2023,success,"Mr. Robert W. Sharps C.F.A., CPA",male,success
TTWO,,,,,,An error occurred: 'symbolSeries',"Mr. Strauss H. Zelnick Esq., J.D.",male,success
TPR,13.33,4.91,1.23,7.2,01/01/2023,success,Ms. Joanne C. Crevoiserat,female,success
TRGP,33.98,4.13,15.33,14.52,01/01/2023,success,Mr. Matthew J. Meloy,male,success
TGT,14.72,5.06,2.04,7.63,01/08/2022,success,Mr. Brian C. Cornell,male,success
TEL,15.93,4.64,6.42,4.87,01/08/2022,success,Mr. Terrence R. Curtin CPA,male,success
TDY,,,,,,An error occurred: 'symbolSeries',Dr. Robert  Mehrabian,male,Manually added gender
TFX,29.63,8.67,4.83,16.12,01/01/2023,success,Mr. Liam J. Kelly,male,success
TER,15.86,4.64,6.27,4.95,01/01/2023,success,Mr. Gregory S. Smith,male,success
TSLA,28.54,9.61,2.78,16.16,01/08/2022,success,Mr. Elon R. Musk,male,success
TXN,19.93,6.03,8.84,5.06,01/08/2022,success,Mr. Haviv  Ilan,male,success
TXT,33.81,6.53,11.05,16.23,01/01/2023,success,Mr. Scott C. Donnelly,male,success
TMO,13.52,6.46,1.47,5.6,01/08/2022,success,Mr. Marc N. Casper,male,success
TJX,14.43,5.12,1.89,7.42,01/08/2022,success,Mr. Ernie L. Herrman,male,success
TSCO,13.96,4.14,3.04,6.78,01/01/2023,success,Mr. Harry A. Lawton III,male,success
TT,16.12,5.16,7.11,3.84,01/01/2023,success,Mr. David S. Regnery,male,success
TDG,39.09,8.4,12.84,17.85,01/01/2023,success,Dr. Kevin M. Stein Ph.D.,male,Manually added gender
TRV,20.52,10.08,0.99,9.45,01/08/2022,success,Mr. Alan David Schnitzer,male,success
TRMB,12.98,6.09,3.17,3.72,01/01/2023,success,Mr. Robert G. Painter,male,success
TFC,25.42,10.39,2.01,13.02,01/03/2020,success,Mr. William Henry Rogers Jr.,male,success
TYL,,,,,,An error occurred: 'symbolSeries',Mr. H. Lynn Moore Jr.,male,success
TSN,36.67,9.97,14.31,12.39,01/01/2023,success,Mr. Donnie D. King,male,success
USB,27.04,12.45,1.39,13.19,01/10/2020,success,Mr. Andrew J. Cecere,male,success
UDR,12.36,5.21,3.15,4.0,01/01/2023,success,Mr. Thomas W. Toomey,male,success
ULTA,15.33,4.29,3.83,7.2,01/01/2023,success,Mr. David C. Kimbell,male,success
UNP,25.26,3.69,9.43,12.14,01/08/2022,success,Mr. Vincenzo James Vena,male,success
UAL,28.81,4.96,10.9,12.95,01/01/2023,success,Mr. J. Scott Kirby,male,success
UPS,19.5,5.38,4.58,9.55,01/08/2022,success,Ms. Carol B. Tome,female,success
URI,18.45,5.99,5.89,6.57,01/01/2023,success,Mr. Matthew J. Flannery,male,success
UNH,17.54,5.89,0.03,11.62,01/08/2022,success,Sir Andrew Philip Witty,male,Manually added gender
UHS,32.98,8.6,3.7,20.68,01/01/2023,success,Mr. Marc D. Miller,male,success
VLO,30.05,4.65,18.18,7.23,01/08/2022,success,Mr. R. Lane Riggs,male,success
VTR,12.75,5.73,2.75,4.28,01/01/2023,success,Ms. Debra A. Cafaro,female,success
VLTO,,,,,,An error occurred: 'symbolSeries',Ms. Jennifer L. Honeycutt,female,success
VRSN,21.44,5.93,4.74,10.77,01/01/2023,success,Mr. D. James Bidzos,male,success
VRSK,19.3,5.7,0.11,13.5,01/01/2023,success,Mr. Lee M. Shavel,male,success
VZ,18.48,5.69,3.88,8.92,01/08/2022,success,Mr. Hans E. Vestberg,male,success
VRTX,22.82,6.67,0.75,15.4,01/01/2023,success,"Dr. Reshma  Kewalramani FASN, M.D.",female,Manually added gender
VFC,12.89,5.07,0.9,6.91,01/01/2023,success,Mr. Bracken P. Darrell,male,success
VTRS,,,,,,An error occurred: 'symbolSeries',Mr. Scott Andrew Smith,male,success
VICI,,,,,,An error occurred: 'symbolSeries',Mr. Edward Baltazar Pitoniak,male,success
V,16.07,7.52,0.71,7.84,01/08/2022,success,Mr. Ryan M. McInerney,male,success
VMC,29.02,8.85,15.61,4.56,01/01/2023,success,Mr. James Thomas Hill,male,success
WAB,23.25,7.04,4.52,11.69,01/01/2023,success,Mr. Rafael O. Santana,male,success
WBA,18.29,4.73,2.03,11.52,01/08/2022,success,Mr. Timothy C. Wentworth,male,success
WMT,24.63,6.31,4.4,13.92,01/08/2022,success,Mr. C. Douglas McMillon,male,success
WBD,,,,,,An error occurred: 'symbolSeries',Mr. David M. Zaslav,male,success
WM,16.73,3.28,8.22,5.24,01/08/2022,success,Mr. James C. Fish Jr.,male,success
WAT,17.01,6.24,1.37,9.4,01/01/2023,success,Dr. Udit  Batra Ph.D.,male,Manually added gender
WEC,27.36,5.27,14.68,7.4,01/01/2023,success,Mr. Scott J. Lauber,male,success
WFC,32.84,15.51,1.94,15.4,01/08/2022,success,Mr. Charles W. Scharf,male,success
WELL,12.01,4.92,3.87,3.22,01/01/2023,success,Mr. Shankh S. Mitra,male,success
WST,,,,,,An error occurred: 'symbolSeries',Mr. Eric M. Green,male,success
WDC,11.43,6.05,1.48,3.91,01/01/2023,success,Mr. David V. Goeckeler,male,success
WRK,58.45,61.85,56.02,58.81,01/09/2019,success,Mr. David B. Sewell,male,success
WY,17.56,3.78,10.48,3.29,01/08/2022,success,"Mr. Devin W. Stockfish Esq., J.D.",male,success
WHR,15.8,3.96,4.76,7.08,01/01/2023,success,Mr. Marc Robert Bitzer,male,success
WMB,23.5,3.08,9.98,10.43,01/01/2023,success,Mr. Alan S. Armstrong,male,success
WTW,18.61,9.79,0.13,8.68,01/01/2023,success,"Mr. Carl A. Hess CERA, F.S.A.",male,success
GWW,14.6,5.72,3.41,5.48,01/01/2023,success,Mr. Donald G. Macpherson,male,success
WYNN,26.49,10.96,3.55,11.98,01/01/2023,success,Mr. Craig Scott Billings,male,success
XEL,23.8,4.18,12.87,6.75,01/01/2023,success,Mr. Robert C. Frenzel,male,success
XYL,16.04,5.08,3.56,7.4,01/01/2023,success,Mr. Patrick K. Decker,male,success
YUM,20.55,4.44,4.46,11.65,01/08/2022,success,Mr. David W. Gibbs,male,success
ZBRA,,,,,,An error occurred: 'symbolSeries',Mr. William J. Burns,male,success
ZBH,27.3,8.24,4.46,14.6,01/01/2023,success,Mr. Ivan  Tornos,male,success
ZION,48.73,51.4,34.33,59.06,01/11/2018,success,Mr. Harris Henry Simmons,male,success
ZTS,18.47,8.95,1.38,8.15,01/08/2022,success,Ms. Kristin C. Peck,female,success
